age,balance,duration,campaign,pdays,previous,day,default,housing,loan,job,marital,education,contact,month,poutcome,y
55,1,208,1,-1,0,5,1,1,0,services,divorced,secondary,unknown,may,unknown,0
45,206,193,1,-1,0,5,0,1,0,admin.,single,secondary,unknown,may,unknown,0
47,164,212,1,-1,0,5,0,0,0,services,divorced,secondary,unknown,may,unknown,0
42,690,20,1,-1,0,5,0,1,0,technician,single,secondary,unknown,may,unknown,0
59,2343,1042,1,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,1
46,137,246,1,-1,0,5,0,1,1,self-employed,married,tertiary,unknown,may,unknown,0
51,173,529,2,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
56,45,1467,1,-1,0,5,0,0,0,admin.,married,secondary,unknown,may,unknown,1
41,1270,1389,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,1
46,16,188,2,-1,0,5,0,1,1,management,divorced,secondary,unknown,may,unknown,0
57,486,180,2,-1,0,5,0,1,0,retired,married,secondary,unknown,may,unknown,0
42,50,48,1,-1,0,5,0,0,0,management,single,secondary,unknown,may,unknown,0
30,152,213,2,-1,0,5,0,1,1,technician,married,secondary,unknown,may,unknown,0
60,290,583,1,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
60,54,221,1,-1,0,5,0,1,0,blue-collar,married,unknown,unknown,may,unknown,0
57,-37,173,1,-1,0,5,0,0,0,entrepreneur,divorced,secondary,unknown,may,unknown,0
36,101,426,1,-1,0,5,0,1,1,management,married,tertiary,unknown,may,unknown,0
55,383,287,1,-1,0,5,0,0,0,blue-collar,married,secondary,unknown,may,unknown,0
60,81,101,1,-1,0,5,0,1,0,retired,married,tertiary,unknown,may,unknown,0
39,0,203,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
46,229,197,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
44,-674,257,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
53,90,124,1,-1,0,5,0,0,0,blue-collar,married,primary,unknown,may,unknown,0
52,128,229,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
59,179,55,3,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
27,0,400,1,-1,0,5,0,1,0,technician,single,tertiary,unknown,may,unknown,0
44,54,197,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
47,151,190,1,-1,0,5,0,1,0,technician,married,tertiary,unknown,may,unknown,0
34,61,21,1,-1,0,5,0,0,1,admin.,married,secondary,unknown,may,unknown,0
59,30,514,1,-1,0,5,0,1,0,retired,single,secondary,unknown,may,unknown,0
45,523,849,2,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
29,31,194,1,-1,0,5,0,1,0,services,divorced,secondary,unknown,may,unknown,0
46,79,144,1,-1,0,5,0,0,0,technician,divorced,secondary,unknown,may,unknown,0
56,-34,212,2,-1,0,5,0,1,1,self-employed,married,primary,unknown,may,unknown,0
36,448,286,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
59,81,107,1,-1,0,5,0,1,0,retired,divorced,primary,unknown,may,unknown,0
44,144,247,2,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
41,351,518,1,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
33,-67,364,1,-1,0,5,0,1,0,management,single,tertiary,unknown,may,unknown,0
59,262,178,1,-1,0,5,0,0,0,management,divorced,tertiary,unknown,may,unknown,0
57,0,98,1,-1,0,5,0,0,0,technician,married,primary,unknown,may,unknown,0
56,56,439,1,-1,0,5,0,1,0,technician,divorced,unknown,unknown,may,unknown,0
51,26,79,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
34,3,120,3,-1,0,5,0,1,0,admin.,married,unknown,unknown,may,unknown,0
43,41,127,2,-1,0,5,0,1,1,services,married,secondary,unknown,may,unknown,0
52,7,175,1,-1,0,5,0,0,1,technician,married,tertiary,unknown,may,unknown,0
33,105,262,2,-1,0,5,0,1,0,technician,single,secondary,unknown,may,unknown,0
29,818,61,1,-1,0,5,0,1,1,admin.,single,secondary,unknown,may,unknown,0
34,-16,78,1,-1,0,5,0,1,1,services,married,secondary,unknown,may,unknown,0
31,0,143,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
55,2476,579,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,1
55,1185,677,1,-1,0,5,0,0,0,management,married,unknown,unknown,may,unknown,0
32,217,345,1,-1,0,5,0,1,0,admin.,single,secondary,unknown,may,unknown,0
38,1685,185,1,-1,0,5,0,1,0,technician,single,secondary,unknown,may,unknown,0
55,802,100,2,-1,0,5,0,1,1,admin.,single,secondary,unknown,may,unknown,0
28,0,125,2,-1,0,5,0,1,0,unemployed,single,tertiary,unknown,may,unknown,0
23,94,193,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
32,0,136,1,-1,0,5,0,1,0,technician,single,secondary,unknown,may,unknown,0
43,0,73,1,-1,0,5,0,0,0,services,single,unknown,unknown,may,unknown,0
32,517,528,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
46,265,541,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
53,947,163,1,-1,0,5,0,1,0,housemaid,divorced,primary,unknown,may,unknown,0
34,3,301,1,-1,0,5,0,1,0,self-employed,single,secondary,unknown,may,unknown,0
57,42,46,1,-1,0,5,0,0,0,unemployed,married,tertiary,unknown,may,unknown,0
37,37,204,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
59,57,98,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
33,22,71,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
56,8,157,2,-1,0,5,0,1,0,blue-collar,divorced,primary,unknown,may,unknown,0
48,293,243,1,-1,0,5,0,1,0,unemployed,married,secondary,unknown,may,unknown,0
43,3,186,2,-1,0,5,0,1,0,services,married,primary,unknown,may,unknown,0
54,348,579,2,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
51,-19,163,2,-1,0,5,0,1,0,blue-collar,married,unknown,unknown,may,unknown,0
26,0,610,2,-1,0,5,0,1,0,student,single,secondary,unknown,may,unknown,0
40,-4,2033,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
39,18,85,1,-1,0,5,0,1,0,management,married,secondary,unknown,may,unknown,0
50,139,114,2,-1,0,5,0,0,0,technician,married,primary,unknown,may,unknown,0
41,0,114,2,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
51,1883,57,1,-1,0,5,0,1,0,blue-collar,married,unknown,unknown,may,unknown,0
60,216,238,1,-1,0,5,0,1,0,retired,divorced,secondary,unknown,may,unknown,0
52,782,93,3,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
48,904,128,2,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
48,1705,107,1,-1,0,5,0,1,0,services,married,unknown,unknown,may,unknown,0
39,47,181,1,-1,0,5,0,1,0,technician,single,tertiary,unknown,may,unknown,0
47,176,303,2,-1,0,5,0,1,0,services,single,secondary,unknown,may,unknown,0
40,1225,558,5,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
45,86,270,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
26,82,228,1,-1,0,5,0,1,0,admin.,single,secondary,unknown,may,unknown,0
52,271,99,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
54,1378,240,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
54,184,673,2,-1,0,5,0,0,0,admin.,married,tertiary,unknown,may,unknown,1
50,0,233,3,-1,0,5,0,0,0,blue-collar,married,primary,unknown,may,unknown,0
35,0,1056,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
44,1357,250,1,-1,0,5,0,1,1,services,married,secondary,unknown,may,unknown,0
53,19,252,1,-1,0,5,0,1,0,entrepreneur,married,unknown,unknown,may,unknown,0
35,434,138,1,-1,0,5,0,0,0,retired,single,primary,unknown,may,unknown,0
60,92,130,1,-1,0,5,0,1,0,admin.,divorced,secondary,unknown,may,unknown,0
53,1151,412,1,-1,0,5,0,1,0,admin.,divorced,secondary,unknown,may,unknown,0
48,41,179,2,-1,0,5,0,1,0,unemployed,married,secondary,unknown,may,unknown,0
34,51,19,2,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
54,214,458,2,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
51,1161,717,1,-1,0,5,0,1,0,management,married,secondary,unknown,may,unknown,0
31,37,313,1,-1,0,5,0,1,0,services,married,tertiary,unknown,may,unknown,0
35,787,683,2,-1,0,5,0,1,0,technician,divorced,secondary,unknown,may,unknown,0
35,59,1077,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
38,253,416,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
36,211,146,2,-1,0,5,0,1,0,admin.,married,tertiary,unknown,may,unknown,0
58,235,167,1,-1,0,5,0,1,0,retired,married,primary,unknown,may,unknown,0
40,4384,315,1,-1,0,5,0,1,0,services,divorced,unknown,unknown,may,unknown,0
54,4080,140,1,-1,0,5,0,0,0,management,married,secondary,unknown,may,unknown,0
34,53,346,1,-1,0,5,0,1,1,blue-collar,single,secondary,unknown,may,unknown,0
31,0,562,1,-1,0,5,0,1,0,management,single,tertiary,unknown,may,unknown,0
51,2127,172,1,-1,0,5,0,1,0,retired,married,secondary,unknown,may,unknown,0
33,377,217,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
55,73,142,2,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
42,445,67,1,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
34,243,291,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
33,307,309,2,-1,0,5,0,1,0,blue-collar,single,secondary,unknown,may,unknown,0
38,155,248,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
50,173,98,1,-1,0,5,0,0,1,technician,divorced,tertiary,unknown,may,unknown,0
43,400,256,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
61,1428,82,2,-1,0,5,0,1,0,blue-collar,divorced,primary,unknown,may,unknown,0
47,219,577,1,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
48,7,286,1,-1,0,5,0,1,0,self-employed,married,tertiary,unknown,may,unknown,0
44,575,477,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
35,298,611,2,-1,0,5,0,1,0,student,single,unknown,unknown,may,unknown,0
35,0,471,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
50,5699,381,2,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
41,176,42,1,-1,0,5,0,1,1,management,married,tertiary,unknown,may,unknown,0
41,517,251,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
39,257,408,1,-1,0,5,0,1,0,services,single,unknown,unknown,may,unknown,0
42,56,215,1,-1,0,5,0,1,0,retired,married,secondary,unknown,may,unknown,0
38,-390,287,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
53,330,216,2,-1,0,5,0,1,0,retired,married,secondary,unknown,may,unknown,0
59,195,366,2,-1,0,5,0,0,0,housemaid,divorced,primary,unknown,may,unknown,0
36,301,210,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
54,-41,288,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
40,483,168,1,-1,0,5,0,1,0,technician,married,tertiary,unknown,may,unknown,0
47,28,338,2,-1,0,5,0,0,0,unknown,married,unknown,unknown,may,unknown,0
53,13,410,3,-1,0,5,0,0,0,unemployed,married,unknown,unknown,may,unknown,0
46,965,177,1,-1,0,5,0,0,0,housemaid,married,primary,unknown,may,unknown,0
39,378,127,2,-1,0,5,0,1,1,management,married,tertiary,unknown,may,unknown,0
40,219,357,1,-1,0,5,0,1,0,unemployed,married,secondary,unknown,may,unknown,0
28,324,175,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
35,-69,300,1,-1,0,5,0,1,0,entrepreneur,divorced,secondary,unknown,may,unknown,0
55,0,136,1,-1,0,5,0,0,1,retired,married,secondary,unknown,may,unknown,0
43,205,1419,1,-1,0,5,0,1,0,technician,divorced,unknown,unknown,may,unknown,0
48,278,125,2,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
58,1065,213,3,-1,0,5,0,1,0,management,married,unknown,unknown,may,unknown,0
33,34,27,1,-1,0,5,0,1,0,management,single,tertiary,unknown,may,unknown,0
36,1033,238,2,-1,0,5,0,0,0,blue-collar,married,unknown,unknown,may,unknown,0
53,1467,124,1,-1,0,5,0,1,0,services,divorced,secondary,unknown,may,unknown,0
47,-12,18,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
31,388,730,2,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
57,294,746,2,-1,0,5,0,1,0,entrepreneur,married,secondary,unknown,may,unknown,0
53,1827,121,1,-1,0,5,0,0,0,blue-collar,married,unknown,unknown,may,unknown,0
55,627,247,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
45,25,40,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
53,315,181,2,-1,0,5,0,1,0,admin.,divorced,secondary,unknown,may,unknown,0
37,0,79,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
44,66,206,1,-1,0,5,0,1,0,admin.,divorced,secondary,unknown,may,unknown,0
49,-9,389,1,-1,0,5,0,1,1,blue-collar,divorced,primary,unknown,may,unknown,0
46,349,127,1,-1,0,5,0,1,1,technician,married,secondary,unknown,may,unknown,0
43,100,702,1,-1,0,5,0,1,0,entrepreneur,married,unknown,unknown,may,unknown,0
38,0,151,1,-1,0,5,0,0,0,admin.,married,secondary,unknown,may,unknown,0
43,434,117,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
49,3237,232,3,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
42,275,408,2,-1,0,5,0,0,0,management,married,unknown,unknown,may,unknown,0
22,0,179,2,-1,0,5,0,1,0,blue-collar,single,secondary,unknown,may,unknown,0
40,207,39,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
39,483,282,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
51,2248,714,2,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
49,428,50,1,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
53,0,181,1,-1,0,5,0,1,1,blue-collar,married,secondary,unknown,may,unknown,0
34,0,142,1,-1,0,5,0,1,0,services,single,secondary,unknown,may,unknown,0
33,140,227,1,-1,0,5,0,1,0,technician,divorced,secondary,unknown,may,unknown,0
50,297,119,1,-1,0,5,0,1,0,management,single,tertiary,unknown,may,unknown,0
39,279,361,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
59,901,73,3,-1,0,5,0,1,0,entrepreneur,divorced,secondary,unknown,may,unknown,0
30,2573,67,2,-1,0,5,0,1,0,technician,single,secondary,unknown,may,unknown,0
36,143,350,1,-1,0,5,0,1,1,services,married,secondary,unknown,may,unknown,0
40,475,332,2,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
53,70,611,2,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
34,318,113,2,-1,0,5,0,1,0,management,single,tertiary,unknown,may,unknown,0
37,275,132,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
42,742,58,3,-1,0,5,0,1,0,management,divorced,tertiary,unknown,may,unknown,0
41,236,151,1,-1,0,5,0,1,0,entrepreneur,married,primary,unknown,may,unknown,0
30,25,89,2,-1,0,5,0,1,0,student,single,tertiary,unknown,may,unknown,0
37,600,152,1,-1,0,5,0,1,0,management,single,tertiary,unknown,may,unknown,0
39,-349,611,2,-1,0,5,0,1,0,admin.,divorced,secondary,unknown,may,unknown,0
41,183,110,2,-1,0,5,0,1,1,blue-collar,married,primary,unknown,may,unknown,0
40,0,463,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
42,0,562,2,-1,0,5,0,1,1,management,single,tertiary,unknown,may,unknown,1
40,0,962,1,-1,0,5,0,1,0,blue-collar,divorced,primary,unknown,may,unknown,0
57,1078,10,4,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
56,155,118,3,-1,0,5,0,0,0,entrepreneur,divorced,secondary,unknown,may,unknown,0
37,190,92,2,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
59,319,143,3,-1,0,5,0,1,0,retired,married,secondary,unknown,may,unknown,0
39,-185,189,3,-1,0,5,0,1,0,services,divorced,secondary,unknown,may,unknown,0
49,47,234,2,-1,0,5,0,0,0,services,married,secondary,unknown,may,unknown,0
38,570,75,2,-1,0,5,0,1,0,services,single,secondary,unknown,may,unknown,0
36,19,189,2,-1,0,5,0,0,0,self-employed,married,tertiary,unknown,may,unknown,0
50,61,621,3,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
41,-62,55,2,-1,0,5,0,1,1,admin.,married,secondary,unknown,may,unknown,0
54,258,310,4,-1,0,5,0,0,0,technician,married,tertiary,unknown,may,unknown,0
58,76,156,2,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
30,0,5,2,-1,0,5,0,1,0,blue-collar,single,secondary,unknown,may,unknown,0
33,352,225,2,-1,0,5,0,1,0,admin.,single,secondary,unknown,may,unknown,0
47,368,125,2,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
50,339,2,3,-1,0,5,0,1,0,technician,single,tertiary,unknown,may,unknown,0
32,1331,286,2,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
40,672,164,2,-1,0,5,0,1,0,self-employed,married,secondary,unknown,may,unknown,0
37,58,98,2,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
54,447,742,2,-1,0,5,0,1,0,technician,single,unknown,unknown,may,unknown,0
24,423,226,3,-1,0,5,0,1,0,student,single,secondary,unknown,may,unknown,0
54,0,120,2,-1,0,5,0,0,0,management,married,tertiary,unknown,may,unknown,0
34,19,362,4,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
56,13,357,2,-1,0,5,0,1,0,technician,divorced,primary,unknown,may,unknown,0
31,3,200,2,-1,0,5,0,1,0,blue-collar,single,secondary,unknown,may,unknown,0
24,82,204,2,-1,0,5,0,1,0,student,single,secondary,unknown,may,unknown,0
42,28,126,3,-1,0,5,0,1,0,blue-collar,divorced,primary,unknown,may,unknown,0
57,792,65,2,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
42,408,107,2,-1,0,5,0,1,0,blue-collar,married,unknown,unknown,may,unknown,0
51,531,267,2,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
57,211,248,2,-1,0,5,0,1,0,retired,married,secondary,unknown,may,unknown,0
36,62,215,2,-1,0,5,0,1,0,services,single,secondary,unknown,may,unknown,0
53,257,209,2,-1,0,5,0,1,0,services,married,unknown,unknown,may,unknown,0
50,1234,205,2,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
54,313,83,2,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
55,89,106,3,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
44,129,189,2,-1,0,5,0,1,1,blue-collar,married,secondary,unknown,may,unknown,0
43,0,105,2,-1,0,5,0,1,0,management,married,unknown,unknown,may,unknown,0
56,353,106,2,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
54,851,108,2,-1,0,5,0,1,0,technician,married,unknown,unknown,may,unknown,0
55,96,311,2,-1,0,5,0,1,1,services,divorced,primary,unknown,may,unknown,0
37,398,214,2,-1,0,5,0,1,1,services,divorced,secondary,unknown,may,unknown,0
33,193,132,2,-1,0,5,0,0,0,admin.,single,tertiary,unknown,may,unknown,0
46,-358,358,2,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
36,539,453,2,-1,0,5,0,1,1,blue-collar,married,secondary,unknown,may,unknown,0
51,0,364,2,-1,0,5,0,1,0,technician,single,secondary,unknown,may,unknown,0
40,0,136,2,-1,0,5,0,0,0,retired,single,primary,unknown,may,unknown,0
42,490,386,2,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
